time,total,used,free
2025-02-18T21:29:46, 0, 0, 0
2025-02-18T21:29:47, 0, -92988, 368056
2025-02-18T21:29:47, 0, 31712, -139440
2025-02-18T21:29:48, 0, 356280, -89552
2025-02-18T21:29:48, 0, 978880, 382076
2025-02-18T21:29:49, 0, 825668, 910980
2025-02-18T21:29:49, 0, -64956, 1421668
2025-02-18T21:29:50, 0, -233288, 1967516
2025-02-18T21:29:50, 0, -74276, 1428080
2025-02-18T21:29:51, 0, -240948, 1972292
2025-02-18T21:29:51, 0, -85112, 1436000
2025-02-18T21:29:52, 0, -241368, 1969780
2025-02-18T21:29:52, 0, -100508, 1448468
2025-02-18T21:29:53, 0, -252780, 1978276
2025-02-18T21:29:53, 0, -84540, 1429608
2025-02-18T21:29:54, 0, -266452, 1989036
2025-02-18T21:29:54, 0, -97224, 1439332
2025-02-18T21:29:55, 0, -266588, 1986224
2025-02-18T21:29:56, 0, -275900, 1992632
2025-02-18T21:29:57, 0, -262436, 1976332
2025-02-18T21:29:58, 0, -263276, 1974196
2025-02-18T21:29:59, 0, -275416, 1983436
2025-02-18T21:30:00, 0, -284356, 1989456
2025-02-18T21:30:01, 0, -301308, 2003500
2025-02-18T21:30:02, 0, -300708, 2000048
2025-02-18T21:30:03, 0, -302656, 1999112
2025-02-18T21:30:04, 0, -296048, 1989600
2025-02-18T21:30:05, 0, -304488, 1995120
2025-02-18T21:30:06, 0, -292120, 1979708
2025-02-18T21:30:07, 0, -287112, 1971808
2025-02-18T21:30:08, 0, -274836, 1956608
2025-02-18T21:30:09, 0, -159412, 1823196
2025-02-18T21:30:10, 0, 173224, 1486156
2025-02-18T21:30:11, 0, 236320, 1419992
2025-02-18T21:30:12, 0, 307552, 1345832
2025-02-18T21:30:13, 0, 187136, 1463364
2025-02-18T21:30:14, 0, 144036, 1503404
2025-02-18T21:30:15, 0, -93124, 1737688
2025-02-18T21:30:16, 0, -106132, 1747780
2025-02-18T21:30:17, 0, -131448, 1770200
2025-02-18T21:30:18, 0, -109044, 1744880
2025-02-18T21:30:19, 0, -129916, 1762852
2025-02-18T21:30:20, 0, -137812, 1767836
2025-02-18T21:30:21, 0, -141400, 1768524
2025-02-18T21:30:22, 0, -164612, 1788840
2025-02-18T21:30:23, 0, -179084, 1800396
2025-02-18T21:30:24, 0, -195852, 1814252
2025-02-18T21:30:25, 0, -187156, 1802832
2025-02-18T21:30:26, 0, -195696, 1809244
2025-02-18T21:30:27, 0, -205440, 1816960
2025-02-18T21:30:28, 0, -215676, 1823948
2025-02-18T21:30:29, 0, -234664, 1839904
2025-02-18T21:30:30, 0, -241804, 1844268
2025-02-18T21:30:31, 0, -223468, 1823160
2025-02-18T21:30:32, 0, -222672, 1819672
2025-02-18T21:30:33, 0, -229200, 1823400
2025-02-18T21:30:34, 0, -231548, 1822848
2025-02-18T21:30:35, 0, -230576, 1818960
2025-02-18T21:30:36, 0, -226440, 1811920
2025-02-18T21:30:37, 0, -261332, 1843904
2025-02-18T21:30:38, 0, -262292, 1841956
2025-02-18T21:30:39, 0, -260936, 1837688
2025-02-18T21:30:40, 0, -256880, 1830724
2025-02-18T21:30:41, 0, -261128, 1832060
2025-02-18T21:30:42, 0, -265280, 1833312
2025-02-18T21:30:43, 0, -262700, 1827824
2025-02-18T21:30:44, 0, -266228, 1828472
2025-02-18T21:30:45, 0, -272904, 1832636
2025-02-18T21:30:46, 0, -260632, 1817048
2025-02-18T21:30:47, 0, -271700, 1825216
2025-02-18T21:30:48, 0, -266208, 1816684
2025-02-18T21:30:49, 0, -268472, 1816060
2025-02-18T21:30:50, 0, -251408, 1796080
2025-02-18T21:30:51, 0, -250876, 1792640
2025-02-18T21:30:52, 0, -245320, 1784096
2025-02-18T21:30:53, 0, -226396, 1762208
2025-02-18T21:30:54, 0, -221000, 1753840
2025-02-18T21:30:55, 0, -194868, 1724752
2025-02-18T21:30:56, 0, -202308, 1729212
2025-02-18T21:30:57, 0, -216044, 1739964
2025-02-18T21:30:59, 0, -221660, 1742596
2025-02-18T21:31:00, 0, -215172, 1733132
2025-02-18T21:31:01, 0, -202732, 1717712
2025-02-18T21:31:02, 0, -222752, 1734748
2025-02-18T21:31:03, 0, -213036, 1722056
2025-02-18T21:31:04, 0, -214908, 1720960
2025-02-18T21:31:05, 0, -223080, 1726156
2025-02-18T21:31:06, 0, -226612, 1726704
2025-02-18T21:31:07, 0, -219008, 1716744
2025-02-18T21:31:08, 0, -220268, 1714412
2025-02-18T21:31:09, 0, -239300, 1730452
2025-02-18T21:31:10, 0, -220284, 1708460
2025-02-18T21:31:11, 0, -225664, 1710864
2025-02-18T21:31:12, 0, -224176, 1706384
2025-02-18T21:31:13, 0, -238160, 1717420
2025-02-18T21:31:14, 0, -214196, 1690532
2025-02-18T21:31:15, 0, -223332, 1696644
2025-02-18T21:31:16, 0, -226744, 1697088
2025-02-18T21:31:17, 0, -241036, 1708372
2025-02-18T21:31:18, 0, -228868, 1693696
2025-02-18T21:31:19, 0, -223124, 1684508
2025-02-18T21:31:20, 0, -225652, 1684052
2025-02-18T21:31:21, 0, -223708, 1679116
2025-02-18T21:31:22, 0, -243940, 1696372
2025-02-18T21:31:23, 0, -246944, 1696852
2025-02-18T21:31:24, 0, -254048, 1700532
2025-02-18T21:31:25, 0, -235740, 1679244
2025-02-18T21:31:26, 0, -231936, 1672448
2025-02-18T21:31:27, 0, -238296, 1676180
2025-02-18T21:31:28, 0, -263056, 1697616
2025-02-18T21:31:29, 0, -261244, 1692804
2025-02-18T21:31:30, 0, -260756, 1689348
2025-02-18T21:31:31, 0, -266088, 1691704
2025-02-18T21:31:32, 0, -309048, 1732216
2025-02-18T21:31:33, 0, -291088, 1710740
2025-02-18T21:31:34, 0, -299392, 1716040
2025-02-18T21:31:35, 0, -293280, 1706948
2025-02-18T21:31:36, 0, -293224, 1703912
2025-02-18T21:31:37, 0, -298276, 1705988
2025-02-18T21:31:38, 0, -285504, 1690240
2025-02-18T21:31:39, 0, -290100, 1691840
2025-02-18T21:31:40, 0, -292908, 1691668
2025-02-18T21:31:41, 0, -304676, 1700452
